model,seed,scene,occluder,cut,cond,round,d,h,pitch,yaw,hfov,edge_projected,hbin,dbin,dbin3a,n_gt,ncell_3a,ncell_3b,d_3a,d_3b,on_3a,off_3a,on_3b,off_3b,rec_3a,rec_3b,delta_all
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0006.png::boost_e,L0,260820_boost_e_on,6.9519,0.4701,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,0.015938000000000008,-0.0008699999999999264,0.732936,0.716998,0.872248,0.873118,1.0,1.0,-0.0008699999999999264
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L0__s20260820__0006.png::boost_h,L0,260820_boost_h_on,6.9519,0.4238,-5.1828,6.8137,59.5209,14,h_lo (robot ~0.3),d<7,d>=6.8,4,2,2,0.07299999999999995,0.03537000000000001,0.798044,0.725044,0.930779,0.895409,1.0,1.0,0.03537000000000001
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260819__0000.png,L4,260819_main_on,9.9031,0.4233,-6.6317,-4.2143,61.8616,14,h_lo (robot ~0.3),d>=9,d>=6.8,1,0,1,nan,-0.005510999999999988,nan,nan,0.499288,0.504799,nan,0.0,-0.005510999999999988
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0000.png::boost_e,L4,260820_boost_e_on,10.9914,0.3911,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,-0.005168999999999979,nan,nan,0.738954,0.744123,nan,1.0,-0.005168999999999979
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0000.png::boost_h,L4,260820_boost_h_on,10.9914,0.3614,-13.637,-17.7914,62.7559,14,h_lo (robot ~0.3),d>=9,d>=6.8,2,0,2,nan,-0.00041999999999997595,nan,nan,0.759889,0.760309,nan,1.0,-0.00041999999999997595
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0001.png::boost_h,L4,260820_boost_h_on,9.9013,0.8097,-6.8068,-11.8299,63.9125,14,h_mid (~0.9),d>=9,d>=6.8,1,0,1,nan,-0.016390999999999933,nan,nan,0.635684,0.652075,nan,1.0,-0.016390999999999933
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0003.png::boost_e,L4,260820_boost_e_on,7.5147,0.4734,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,0.000793000000000002,-0.012038999999999911,0.072211,0.071418,0.729068,0.741107,0.0,1.0,-0.012038999999999911
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0003.png::boost_h,L4,260820_boost_h_on,7.5147,0.4263,-11.0902,-4.9586,63.1815,14,h_lo (robot ~0.3),d 7-9,d>=6.8,4,2,2,-0.0007559999999999928,-0.02747899999999992,0.096916,0.097672,0.719165,0.746644,0.0,1.0,-0.02747899999999992
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0004.png::boost_e,L4,260820_boost_e_on,9.9583,0.8223,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,-0.05659599999999998,nan,nan,0.523655,0.580251,nan,1.0,-0.05659599999999998
rgb,42,scene15,lateral wall + 25deg bend (corridor occlusion),L4__s20260820__0004.png::boost_h,L4,260820_boost_h_on,9.9583,0.7018,-12.6937,-3.4861,58.1207,14,h_mid (~0.9),d>=9,d>=6.8,2,0,2,nan,-0.093086,nan,nan,0.449546,0.542632,nan,0.0,-0.093086
